
year,month,H(h)_m,H(i_opt)_m,H(i)_m,Hb(n)_m,Kd,T2m
2013,Jul,133.5,120.9,108.58,91.57,0.49,28.8
2013,Aug,122.49,118.22,109.48,82.49,0.51,27.8
2013,Sep,157.59,170.25,163.65,160.24,0.3,28.1
2013,Oct,146.09,185.53,188.61,184.42,0.27,25.0
2013,Nov,130.88,194.12,206.09,206.89,0.22,18.8
2013,Dec,113.02,179.79,194.38,191.98,0.23,15.2
2014,Jan,113.33,168.26,179.12,166.19,0.3,13.1
2014,Feb,128.05,169.06,174.1,161.63,0.29,14.8
2014,Mar,174.84,201.53,198.25,204.07,0.28,20.5
2014,Apr,207.95,209.44,194.59,233.58,0.22,27.3
2014,May,224.97,203.51,180.16,236.7,0.23,31.2
2014,Jun,205.16,177.6,154.15,203.64,0.27,34.8
2014,Jul,161.62,144.73,128.6,131.26,0.4,31.1
2014,Aug,163.53,158.91,146.36,146.09,0.35,30.2
2014,Sep,150.74,164.93,159.43,153.64,0.32,28.8
2014,Oct,153.41,195.03,198.15,198.41,0.24,26.6
2014,Nov,132.61,196.95,209.12,211.38,0.21,20.7
2014,Dec,113.18,177.6,191.53,183.97,0.26,14.5
2015,Jan,109.32,160.57,170.52,156.69,0.31,13.0
2015,Feb,134.68,179.71,185.38,179.95,0.25,17.6
2015,Mar,167.8,192.7,189.25,196.31,0.27,20.4
2015,Apr,199.73,200.29,185.93,218.63,0.24,27.2
2015,May,232.34,209.8,185.41,250.25,0.22,33.1
2015,Jun,191.73,166.83,145.43,181.55,0.3,32.3
2015,Jul,145.6,131.31,117.25,110.8,0.43,28.6
2015,Aug,145.79,142.07,131.35,119.71,0.4,28.6
2015,Sep,169.79,185.13,178.3,184.84,0.27,28.5
2015,Oct,156.23,198.14,201.1,202.07,0.24,26.1
2015,Nov,123.7,182.01,192.96,190.43,0.24,21.2
2015,Dec,118.78,190.37,206.12,204.54,0.22,15.4
2016,Jan,124.66,189.79,203.0,197.33,0.24,14.7
2016,Feb,143.05,192.27,198.61,199.0,0.23,17.9
2016,Mar,182.09,210.78,207.42,216.85,0.25,23.5
2016,Apr,208.18,209.06,194.25,225.42,0.24,30.4
2016,May,220.33,199.55,176.8,229.38,0.24,32.9
2016,Jun,192.79,168.28,146.92,180.15,0.3,33.1
2016,Jul,135.75,122.57,109.68,98.69,0.46,28.7
2016,Aug,137.12,132.37,122.3,98.03,0.46,28.2
2016,Sep,163.43,178.25,171.84,174.77,0.29,28.7
2016,Oct,157.23,198.71,201.68,200.41,0.24,25.7
2016,Nov,123.4,183.78,195.31,193.7,0.23,21.3
2016,Dec,117.78,192.31,208.25,203.4,0.22,15.9
2017,Jan,120.14,181.48,193.84,185.01,0.26,14.3
2017,Feb,142.92,192.81,199.31,200.38,0.22,17.8
2017,Mar,189.89,220.73,217.23,239.17,0.21,22.5
2017,Apr,213.53,215.2,199.89,243.79,0.21,30.2
2017,May,222.46,201.41,178.44,233.0,0.24,33.0
2017,Jun,188.2,163.92,143.03,176.62,0.31,32.2
2017,Jul,153.32,138.34,123.62,115.91,0.43,29.3
2017,Aug,138.75,134.0,123.71,104.37,0.45,28.7
2017,Sep,151.64,164.96,159.06,155.46,0.31,28.0
2017,Oct,164.57,210.41,213.94,219.91,0.22,25.7
2017,Nov,127.83,189.19,200.77,201.1,0.22,20.0
2017,Dec,114.4,180.62,195.04,187.71,0.26,15.6
2018,Jan,132.15,204.46,219.33,221.69,0.2,14.1
2018,Feb,136.91,182.65,188.41,182.68,0.25,18.0
2018,Mar,191.5,222.73,219.2,244.02,0.21,24.0
